"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","TOTAL","NR","T","LV",2019-01-01,117
"UK","COMPLET","TOTAL","NR","T","MT",2019-01-01,213
"UK","COMPLET","TOTAL","NR","T","NL",2019-01-01,2597
"UK","COMPLET","TOTAL","NR","T","NO",2019-01-01,23
"UK","COMPLET","TOTAL","NR","T","PL",2019-01-01,37
"UK","COMPLET","TOTAL","NR","T","PT",2019-01-01,110
"UK","COMPLET","TOTAL","NR","T","SE",2019-01-01,4489
"UK","COMPLET","TOTAL","NR","T","SI",2019-01-01,5
"UK","COMPLET","TOTAL","NR","T","SK",2019-01-01,70
"UK","COMPLET","TOTAL","NR","T","UK",2019-01-01,0
"UK","COMPLET","UNK","NR","F","AT",2019-01-01,0
"UK","COMPLET","UNK","NR","F","BE",2019-01-01,0
"UK","COMPLET","UNK","NR","F","BG",2019-01-01,0
"UK","COMPLET","UNK","NR","F","DE",2019-01-01,0
"UK","COMPLET","UNK","NR","F","ES",2019-01-01,0
"UK","COMPLET","UNK","NR","F","FI",2019-01-01,0
"UK","COMPLET","UNK","NR","F","IE",2019-01-01,0
"UK","COMPLET","UNK","NR","F","IS",2019-01-01,0
"UK","COMPLET","UNK","NR","F","LI",2019-01-01,0
"UK","COMPLET","UNK","NR","F","LT",2019-01-01,0
"UK","COMPLET","UNK","NR","F","LU",2019-01-01,0
"UK","COMPLET","UNK","NR","F","MT",2019-01-01,0
"UK","COMPLET","UNK","NR","F","NO",2019-01-01,0
"UK","COMPLET","UNK","NR","F","PL",2019-01-01,0
"UK","COMPLET","UNK","NR","F","PT",2019-01-01,0
"UK","COMPLET","UNK","NR","F","SE",2019-01-01,0
"UK","COMPLET","UNK","NR","F","SI",2019-01-01,0
"UK","COMPLET","UNK","NR","F","UK",2019-01-01,0
"UK","COMPLET","UNK","NR","M","AT",2019-01-01,0
"UK","COMPLET","UNK","NR","M","BE",2019-01-01,0
"UK","COMPLET","UNK","NR","M","BG",2019-01-01,0
"UK","COMPLET","UNK","NR","M","DE",2019-01-01,0
"UK","COMPLET","UNK","NR","M","ES",2019-01-01,0
"UK","COMPLET","UNK","NR","M","FI",2019-01-01,0
"UK","COMPLET","UNK","NR","M","IE",2019-01-01,0
"UK","COMPLET","UNK","NR","M","IS",2019-01-01,0
"UK","COMPLET","UNK","NR","M","LI",2019-01-01,0
"UK","COMPLET","UNK","NR","M","LT",2019-01-01,0
"UK","COMPLET","UNK","NR","M","LU",2019-01-01,0
"UK","COMPLET","UNK","NR","M","MT",2019-01-01,0
"UK","COMPLET","UNK","NR","M","NO",2019-01-01,0
"UK","COMPLET","UNK","NR","M","PL",2019-01-01,0
"UK","COMPLET","UNK","NR","M","PT",2019-01-01,0
"UK","COMPLET","UNK","NR","M","SE",2019-01-01,0
"UK","COMPLET","UNK","NR","M","SI",2019-01-01,0
"UK","COMPLET","UNK","NR","M","UK",2019-01-01,0
"UK","COMPLET","UNK","NR","T","AT",2019-01-01,0
"UK","COMPLET","UNK","NR","T","BE",2019-01-01,0
"UK","COMPLET","UNK","NR","T","BG",2019-01-01,0
"UK","COMPLET","UNK","NR","T","DE",2019-01-01,0
"UK","COMPLET","UNK","NR","T","ES",2019-01-01,0
"UK","COMPLET","UNK","NR","T","FI",2019-01-01,0
"UK","COMPLET","UNK","NR","T","IE",2019-01-01,0
"UK","COMPLET","UNK","NR","T","IS",2019-01-01,0
"UK","COMPLET","UNK","NR","T","LI",2019-01-01,0
"UK","COMPLET","UNK","NR","T","LT",2019-01-01,0
"UK","COMPLET","UNK","NR","T","LU",2019-01-01,0
"UK","COMPLET","UNK","NR","T","MT",2019-01-01,0
"UK","COMPLET","UNK","NR","T","NO",2019-01-01,0
"UK","COMPLET","UNK","NR","T","PL",2019-01-01,0
"UK","COMPLET","UNK","NR","T","PT",2019-01-01,0
"UK","COMPLET","UNK","NR","T","SE",2019-01-01,0
"UK","COMPLET","UNK","NR","T","SI",2019-01-01,0
"UK","COMPLET","UNK","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","AT",2019-01-01,2
"UK","COMPLET","Y10-14","NR","F","BE",2019-01-01,30
"UK","COMPLET","Y10-14","NR","F","BG",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","DE",2019-01-01,70
"UK","COMPLET","Y10-14","NR","F","ES",2019-01-01,4
"UK","COMPLET","Y10-14","NR","F","FI",2019-01-01,1
"UK","COMPLET","Y10-14","NR","F","IE",2019-01-01,2
"UK","COMPLET","Y10-14","NR","F","IS",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","LI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","LT",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","LU",2019-01-01,1
"UK","COMPLET","Y10-14","NR","F","MT",2019-01-01,2
"UK","COMPLET","Y10-14","NR","F","NO",2019-01-01,3
"UK","COMPLET","Y10-14","NR","F","PL",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","PT",2019-01-01,3
"UK","COMPLET","Y10-14","NR","F","SE",2019-01-01,50
"UK","COMPLET","Y10-14","NR","F","SI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","F","UK",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","AT",2019-01-01,2
"UK","COMPLET","Y10-14","NR","M","BE",2019-01-01,40
"UK","COMPLET","Y10-14","NR","M","BG",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","DE",2019-01-01,85
"UK","COMPLET","Y10-14","NR","M","ES",2019-01-01,3
"UK","COMPLET","Y10-14","NR","M","FI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","IE",2019-01-01,2
"UK","COMPLET","Y10-14","NR","M","IS",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","LI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","LT",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","LU",2019-01-01,6
"UK","COMPLET","Y10-14","NR","M","MT",2019-01-01,6
"UK","COMPLET","Y10-14","NR","M","NO",2019-01-01,1
"UK","COMPLET","Y10-14","NR","M","PL",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","PT",2019-01-01,1
"UK","COMPLET","Y10-14","NR","M","SE",2019-01-01,46
"UK","COMPLET","Y10-14","NR","M","SI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","M","UK",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","AT",2019-01-01,4
"UK","COMPLET","Y10-14","NR","T","BE",2019-01-01,70
"UK","COMPLET","Y10-14","NR","T","BG",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","DE",2019-01-01,155
"UK","COMPLET","Y10-14","NR","T","ES",2019-01-01,7
"UK","COMPLET","Y10-14","NR","T","FI",2019-01-01,1
"UK","COMPLET","Y10-14","NR","T","IE",2019-01-01,4
"UK","COMPLET","Y10-14","NR","T","IS",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","LI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","LT",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","LU",2019-01-01,7
"UK","COMPLET","Y10-14","NR","T","MT",2019-01-01,8
"UK","COMPLET","Y10-14","NR","T","NO",2019-01-01,4
"UK","COMPLET","Y10-14","NR","T","PL",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","PT",2019-01-01,4
"UK","COMPLET","Y10-14","NR","T","SE",2019-01-01,96
"UK","COMPLET","Y10-14","NR","T","SI",2019-01-01,0
"UK","COMPLET","Y10-14","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","AT",2019-01-01,3
"UK","COMPLET","Y15-19","NR","F","BE",2019-01-01,33
"UK","COMPLET","Y15-19","NR","F","BG",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","DE",2019-01-01,95
"UK","COMPLET","Y15-19","NR","F","ES",2019-01-01,6
"UK","COMPLET","Y15-19","NR","F","FI",2019-01-01,1
"UK","COMPLET","Y15-19","NR","F","IE",2019-01-01,5
"UK","COMPLET","Y15-19","NR","F","IS",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","LI",2019-01-01,0
